Sex,Race,X0,X1,X2
male,caucasian,0.017755144607943585,0.6833675176508396,0.8514290820880405
female,caucasian,0.04510782798977675,0.13966245457740878,0.5446214494840536
female,african-american,0.185091349256018,0.19962224757076086,0.8788916434101989
male,caucasian,0.5946593719573325,0.8540362890554397,0.6558759519440457
male,african-american,0.6088317948705179,0.5384426673820205,0.48814979619511567
male,hispanic,0.6716212352569686,0.8605227808585532,0.6591222645889301
male,african-american,0.3666433124565457,0.520526240975641,0.4283937515599472
male,african-american,0.2342807975665261,0.3694634853345843,0.22052462276197504
female,african-american,0.07674905711029512,0.2114882504166158,0.6043085345878451
male,african-american,0.07870104836596425,0.26836768035120173,0.1008491894278214
male,,0.30599546420101076,0.08047747363850655,0.20414547891135748
male,hispanic,0.39759570715361237,0.509915160123304,0.8649140024475971
male,african-american,0.12331094324165792,0.7972384837732218,0.8482166851160723
female,african-american,0.9515505925564701,0.9797943976398265,0.9495045118128548
male,african-american,0.4161763786819149,0.060766541765957305,0.12074605442873287
male,african-american,0.9448141046119081,0.3784441238547872,0.7047672875586931
female,caucasian,0.4650156226627471,0.7812927141101641,0.8298930920996976
male,african-american,0.6202986070246699,0.14555074177580085,0.42192431255655594
female,caucasian,0.9441850618935966,0.9648697169525758,0.5037716009632052
female,african-american,0.029694182235207145,0.8690902291679734,0.8758780509421077
female,african-american,0.455859022021618,0.8933272117648824,0.23621741910772853
male,hispanic,0.7303707697288788,0.09504991573124633,0.8158854032308764
male,caucasian,0.7568010655413062,0.8136547811402879,0.051454595668855574
male,caucasian,0.8957071407124877,0.6343903760711054,0.8420476933800953
female,african-american,0.0416222549655062,0.7008530126356383,0.5487457093541811
male,african-american,0.06886251950406508,0.4808777664747911,0.14080398332663135
male,african-american,0.7128326619427195,0.6898927169389755,0.15601823922136548
male,hispanic,0.019181061688833823,0.984143098014065,0.22155918540029929
female,,0.21881153462222225,0.9095094146631205,0.502418397677352
male,african-american,0.32143862495993814,0.6748020111802262,0.07406390930640427
male,african-american,0.2667137190325093,0.8717704770907941,0.4981446469872147
male,caucasian,0.4994773617849947,0.4808464352024795,0.09388362009511309
male,african-american,0.7923704680413416,0.3485407485022485,0.7551385284291217
male,african-american,0.6955075855444971,0.13594131692504507,0.6160267996764368
male,african-american,0.16944939699351758,0.4144006948154534,0.4291608996686209
male,caucasian,0.29724418021872134,0.6935564394899825,0.7440994114077801
male,african-american,0.520573675286477,0.7483169171022493,0.37666207323572154
male,african-american,0.286526935437208,0.4052731256956872,0.49385028667684316
male,caucasian,0.7456958458466139,0.0033061985890794343,0.8298729915703481
male,african-american,0.3959228089866019,0.9586990379123165,0.3263463633629744
male,,0.23634750600392673,0.8831314152028,0.9859587544026455
male,caucasian,0.7746118624661779,0.7213790508905745,0.02771655737655143
male,caucasian,0.8829313637494307,0.2816385874970724,0.3415151552231074
male,hispanic,0.8304168428157416,0.6758377687637103,0.9702101630594848
male,caucasian,0.3462966039013541,0.05309733712548559,0.8006452709074274
male,caucasian,0.9126630533951788,0.7153940103367823,0.8676846974504059
male,caucasian,0.5699690268761507,0.26900892858237024,0.13863520538107166
female,african-american,0.813311070062082,0.990525309782752,0.10581623218586256
male,african-american,0.18914061073556232,0.17165925885072852,0.561396456415103
male,caucasian,0.12736886284915272,0.130299883903649,0.6377319580715574
male,african-american,0.8026419611457382,0.8988743942853941,0.41433189557072336
male,caucasian,0.3515578957487556,0.6840285333271059,0.8719087633432886
female,african-american,0.5707322868173709,0.1782032594777755,0.0718512318762321
male,african-american,0.49612289065215565,0.7761013003447439,0.13702805854124034
female,african-american,0.5135077610503667,0.6345051525340792,0.3515446332838449
male,caucasian,0.04394589887902345,0.3578668884571523,0.19410236634142253
female,caucasian,0.008755002195030004,0.7270034557790549,0.5755314615058188
male,african-american,0.22509071424939497,0.9174991121957772,0.5361330208553309
male,african-american,0.9647300907220874,0.4759723373292013,0.19246069882295325
male,caucasian,0.7650853217616356,0.9178669911563713,0.6897131385241878
male,african-american,0.6907663463924216,0.05317941662963088,0.7619565814685778
male,hispanic,0.2699521559424345,0.6735979829742303,0.13136149196046443
female,hispanic,0.5892723368608793,0.179122252203466,0.232206425344476
male,african-american,0.256186716750046,0.8989491724852844,0.6980343411629725
male,,0.0532164400441143,0.3350487369760683,0.34691030990735183
male,african-american,0.6629208429187691,0.22409057784784558,0.06944323853097756
male,caucasian,0.45937241935766626,0.5312284190068655,0.19917774892176165
female,caucasian,0.5837509407653702,0.836677082875696,0.6281776940207865
male,hispanic,0.0844822184039451,0.005182080530309219,0.516700394610057
male,caucasian,0.5613396414877111,0.6810099982373149,0.23204303049981878
male,caucasian,0.6279108840126851,0.04761557612173151,0.4715213048309711
male,caucasian,0.0866845192304877,0.4231966702275751,0.47532336012376375
male,caucasian,0.9824400483557691,0.4861039249639354,0.433093804971563
female,african-american,0.1718800637373039,0.04690104814782836,0.963253205750581
male,caucasian,0.9936984136809,0.9489861953778894,0.10397092680180575
male,african-american,0.4432616590093621,0.09200774830655567,0.32415104489584734
male,african-american,0.6566820888832862,0.6667738753205263,0.16633523610292444
male,african-american,0.8493896412083861,0.3308286990850361,0.8690625468462426
male,african-american,0.5464795485834493,0.035651803580912356,0.03411025356784625
male,caucasian,0.3690836160354569,0.229670129063146,0.3392753674223197
female,hispanic,0.20526506725212024,0.6216985151535305,0.7415805610194319
male,african-american,0.43965256767231387,0.20920971253958465,0.1420370148776855
male,african-american,0.08706422611500442,0.8641786869956632,0.944910765025257
male,caucasian,0.4883793491013655,0.9980820493725777,0.17012598962960512
male,african-american,0.9558346741324607,0.5864316695908814,0.4378627194579885
male,caucasian,0.5355908104140905,0.8603953610354579,0.0001526162711352752
male,african-american,0.07212246314139159,0.9550002694463332,0.7915743878395206
